Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   -0.6490  -220.2778  1733.5749    -0.5371    -0.2218    -0.8138     0.8040    -0.4263    -0.4145    -0.2550    -0.8770     0.4073
   -1.1121  -220.4725  1732.8697    -0.5321    -0.2300    -0.8149     0.4138    -0.9103    -0.0133    -0.7387    -0.3443     0.5795
   -1.5725  -220.6806  1732.1592    -0.5233    -0.2488    -0.8150     0.4274    -0.9041     0.0016    -0.7372    -0.3474     0.5795
   -2.0257  -220.9095  1731.4446    -0.5098    -0.2740    -0.8155     0.5151    -0.8564    -0.0343    -0.6890    -0.4376     0.5777
   -2.4664  -221.1623  1730.7266    -0.4916    -0.3008    -0.8172     0.5995    -0.7975    -0.0671    -0.6316    -0.5229     0.5724
   -2.8899  -221.4380  1730.0062    -0.4705    -0.3249    -0.8204     0.7089    -0.6928    -0.1322    -0.5254    -0.6437     0.5563
   -3.2934  -221.7315  1729.2839    -0.4488    -0.3423    -0.8255     0.8263    -0.5107    -0.2375    -0.3402    -0.7887     0.5120
   -3.6769  -222.0350  1728.5597    -0.4295    -0.3507    -0.8322     0.9026    -0.1963    -0.3832    -0.0289    -0.9157     0.4009
   -4.0435  -222.3398  1727.8337    -0.4158    -0.3495    -0.8397     0.7208     0.4364    -0.5385     0.5546    -0.8291     0.0705
   -4.3991  -222.6376  1727.1058    -0.4096    -0.3393    -0.8468     0.1272     0.8980    -0.4213     0.9034    -0.2803    -0.3247
   -4.7514  -222.9226  1726.3757    -0.4117    -0.3234    -0.8520    -0.3234     0.9259    -0.1952     0.8520     0.1952    -0.4858
   -5.1083  -223.1924  1725.6439    -0.4217    -0.3056    -0.8536    -0.6123     0.7904     0.0195     0.6688     0.5309    -0.5205
   -5.4772  -223.4481  1724.9113    -0.4377    -0.2905    -0.8509    -0.8023     0.5533     0.2238     0.4058     0.7807    -0.4752
   -5.8629  -223.6946  1724.1799    -0.4567    -0.2823    -0.8437    -0.8892     0.1756     0.4225     0.0289     0.9431    -0.3312
   -6.2677  -223.9393  1723.4525    -0.4762    -0.2834    -0.8324    -0.7956    -0.2643     0.5451    -0.3745     0.9219    -0.0997
   -6.6909  -224.1907  1722.7325    -0.4938    -0.2947    -0.8181    -0.5859    -0.5825     0.5634    -0.6426     0.7576     0.1150
   -7.1296  -224.4569  1722.0234    -0.5078    -0.3149    -0.8018    -0.3694    -0.7613     0.5329    -0.7782     0.5668     0.2703
   -7.5792  -224.7442  1721.3282    -0.5175    -0.3415    -0.7846    -0.2161    -0.8351     0.5059    -0.8280     0.4313     0.3583
   -8.0349  -225.0558  1720.6487    -0.5228    -0.3704    -0.7678    -0.0969    -0.8690     0.4852    -0.8469     0.3280     0.4184
   -8.4923  -225.3914  1719.9850    -0.5243    -0.3977    -0.7529     0.0059    -0.8859     0.4638    -0.8515     0.2387     0.4669
   -8.9482  -225.7475  1719.3351    -0.5234    -0.4196    -0.7416     0.0826    -0.8913     0.4459    -0.8481     0.1721     0.5011
   -9.4010  -226.1178  1718.6952    -0.5210    -0.4331    -0.7355     0.3078    -0.8990     0.3114    -0.7961    -0.0642     0.6017
   -9.8499  -226.4945  1718.0601    -0.5180    -0.4370    -0.7353     0.6954     0.2854    -0.6595     0.4980    -0.8530     0.1561
  -10.2952  -226.8697  1717.4239    -0.5144    -0.4317    -0.7410     0.3278     0.6995    -0.6350     0.7925    -0.5695    -0.2183
  -10.7368  -227.2369  1716.7806    -0.5097    -0.4188    -0.7515     0.2314     0.7746    -0.5886     0.8286    -0.4739    -0.2979
  -11.1747  -227.5914  1716.1258    -0.5037    -0.4015    -0.7649     0.2936     0.7532    -0.5887     0.8124    -0.5211    -0.2615
  -11.6079  -227.9314  1715.4565    -0.4956    -0.3832    -0.7794     0.3599     0.7262    -0.5858     0.7905    -0.5708    -0.2220
  -12.0351  -228.2575  1714.7721    -0.4860    -0.3669    -0.7933     0.4671     0.6581    -0.5905     0.7387    -0.6575    -0.1484
  -12.4549  -228.5723  1714.0738    -0.4751    -0.3548    -0.8052     0.6197     0.5147    -0.5925     0.6247    -0.7805    -0.0247
  -12.8661  -228.8795  1713.3646    -0.4645    -0.3477    -0.8144     0.7376     0.3569    -0.5731     0.4900    -0.8670     0.0907
  -13.2688  -229.1825  1712.6485    -0.4555    -0.3450    -0.8207     0.8564     0.0818    -0.5097     0.2429    -0.9350     0.2582
  -13.6641  -229.4839  1711.9292    -0.4493    -0.3446    -0.8242     0.8782    -0.0013    -0.4782     0.1637    -0.9388     0.3032
  -14.0544  -229.7841  1711.2100    -0.4468    -0.3441    -0.8258     0.4899     0.6782    -0.5477     0.7485    -0.6493    -0.1345
  -14.4428  -230.0819  1710.4925    -0.4482    -0.3409    -0.8263    -0.5470     0.8357    -0.0481     0.7070     0.4305    -0.5611
  -14.8327  -230.3741  1709.7766    -0.4525    -0.3330    -0.8272    -0.4303     0.8940    -0.1246     0.7811     0.2996    -0.5479
  -15.2261  -230.6565  1709.0608    -0.4581    -0.3194    -0.8295    -0.3353     0.9264    -0.1716     0.8233     0.1995    -0.5314
  -15.6240  -230.9246  1708.3425    -0.4627    -0.3006    -0.8340    -0.1460     0.9537    -0.2628     0.8744     0.0001    -0.4852
  -16.0250  -231.1751  1707.6184    -0.4640    -0.2782    -0.8410     0.0239     0.9451    -0.3259     0.8855    -0.1713    -0.4319
  -16.4259  -231.4059  1706.8857    -0.4602    -0.2546    -0.8505     0.2637     0.8756    -0.4047     0.8478    -0.4105    -0.3358
  -16.8219  -231.6173  1706.1425    -0.4514    -0.2330    -0.8614     0.4256     0.7923    -0.4373     0.7843    -0.5640    -0.2584
  -17.2081  -231.8117  1705.3882    -0.4352    -0.2147    -0.8744     0.6979     0.5331    -0.4783     0.5688    -0.8183    -0.0821
  -17.7062  -232.0548  1704.3494    -0.4145    -0.2015    -0.8875     0.8357     0.3017    -0.4589     0.3602    -0.9319     0.0433
  -17.9354  -232.1668  1703.8508    -0.4026    -0.1984    -0.8936     0.8808     0.1816    -0.4372     0.2490    -0.9631     0.1016
  -18.2741  -232.3372  1703.0725    -0.3822    -0.1966    -0.9029     0.9191    -0.1817    -0.3495    -0.0953    -0.9635     0.2502
  -18.5988  -232.5080  1702.2918    -0.3711    -0.1995    -0.9069     0.9027    -0.3066    -0.3019    -0.2178    -0.9307     0.2939
  -18.9147  -232.6808  1701.5112    -0.3651    -0.2024    -0.9087     0.6670    -0.7378    -0.1037    -0.6495    -0.6439     0.4044
  -19.2278  -232.8547  1700.7323    -0.3665    -0.2026    -0.9081    -0.8945     0.3454     0.2839     0.2561     0.9163    -0.3078
  -19.5443  -233.0264  1699.9555    -0.3737    -0.1973    -0.9063    -0.7271     0.6690     0.1541     0.5760     0.7166    -0.3934
  -19.8687  -233.1904  1699.1801    -0.3842    -0.1844    -0.9046    -0.5601     0.8255     0.0696     0.7339     0.5334    -0.4205
  -20.2030  -233.3401  1698.4043    -0.3947    -0.1631    -0.9042    -0.3469     0.9377    -0.0178     0.8508     0.3066    -0.4267
  -20.5459  -233.4684  1697.6257    -0.4014    -0.1339    -0.9061    -0.1124     0.9890    -0.0963     0.9090     0.0632    -0.4120
  -20.8929  -233.5690  1696.8417    -0.4012    -0.0982    -0.9107     0.1029     0.9831    -0.1514     0.9102    -0.1545    -0.3844
  -21.2373  -233.6370  1696.0503    -0.3928    -0.0584    -0.9178     0.2925     0.9382    -0.1849     0.8718    -0.3411    -0.3515
  -21.5714  -233.6697  1695.2499    -0.3755    -0.0169    -0.9267     0.4552     0.8676    -0.2003     0.8073    -0.4970    -0.3181
  -21.8874  -233.6665  1694.4399    -0.3502     0.0240    -0.9364     0.5709     0.7980    -0.1931     0.7426    -0.6022    -0.2932
  -22.1793  -233.6288  1693.6205    -0.3196     0.0619    -0.9455     0.6628     0.7277    -0.1764     0.6772    -0.6831    -0.2736
  -22.4435  -233.5600  1692.7928    -0.2864     0.0951    -0.9534     0.7310     0.6649    -0.1533     0.6193    -0.7408    -0.2600
  -22.6788  -233.4645  1691.9584    -0.2534     0.1228    -0.9595     0.7876     0.6022    -0.1309     0.5617    -0.7889    -0.2493
  -22.8863  -233.3475  1691.1191    -0.2229     0.1443    -0.9641     0.8379     0.5338    -0.1139     0.4982    -0.8332    -0.2399
  -23.0688  -233.2145  1690.2765    -0.1960     0.1598    -0.9675     0.8867     0.4502    -0.1053     0.4188    -0.8785    -0.2299
  -23.2290  -233.0706  1689.4320    -0.1720     0.1694    -0.9704     0.9547     0.2713    -0.1219     0.2427    -0.9475    -0.2084
  -23.3690  -232.9210  1688.5863    -0.1499     0.1737    -0.9733     0.9856     0.1038    -0.1333     0.0779    -0.9793    -0.1868
  -23.4896  -232.7699  1687.7398    -0.1276     0.1734    -0.9765     0.9808    -0.1246    -0.1503    -0.1477    -0.9769    -0.1542
  -23.5899  -232.6213  1686.8920    -0.1036     0.1691    -0.9801     0.9649    -0.2220    -0.1402    -0.2413    -0.9603    -0.1402
  -23.6681  -232.4779  1686.0426    -0.0766     0.1621    -0.9838     0.9547    -0.2727    -0.1192    -0.2876    -0.9484    -0.1338
  -23.7216  -232.3415  1685.1909    -0.0470     0.1535    -0.9870     0.9552    -0.2822    -0.0894    -0.2923    -0.9470    -0.1333
